"contig_id","r","ranking"
"mc3",1,1
"mc4",0.83,2
"mc6",0.83,3
"mc7",0.83,4
"mc91",0.83,5
"mc92",0.83,6
"mc93",0.83,7
"mc89",0.82,8
"mc90",0.82,9
"mc10",0.76,10
"mc11",0.74,11
"mc30",0.68,12
"mc32",0.68,13
"mc38",0.64,14
"mc31",0.6,15
"mc36",0.6,16
"mc37",0.48,17
"mc26",0.43,18
"mc27",0.43,19
"mc65",0.39,20
"mc66",0.39,21
"mc67",0.39,22
"mc68",0.37,23
"mc24",0.36,24
"mc28",0.36,25
"mc70",0.35,26
"mc100",0.35,27
"mc1",0.34,28
"mc2",0.33,29
"mc69",0.33,30
"mc83",0.33,31
"mc33",0.32,32
"mc34",0.32,33
"mc35",0.32,34
"mc58",0.31,35
"mc60",0.31,36
"mc62",0.31,37
"mc71",0.31,38
"mc40",0.26,39
"mc29",0.24,40
"mc63",0.24,41
"mc61",0.23,42
"mc99",0.23,43
"mc39",0.19,44
"mc41",0.17,45
"mc42",0.17,46
"mc59",0.17,47
"mc25",0.15,48
"mc98",0.15,49
"mc64",0.12,50
"mc21",0.08,51
"mc22",0.08,52
"mc43",0.05,53
"mc47",0.04,54
"mc49",0.04,55
"mc50",0.04,56
"mc52",0.04,57
"mc13",0.03,58
"mc17",0.03,59
"mc44",0.03,60
"mc53",0.03,61
"mc46",0.02,62
"mc55",0.02,63
"mc97",0.02,64
"mc95",-0.01,65
"mc45",-0.02,66
"mc48",-0.02,67
"mc51",-0.02,68
"mc54",-0.02,69
"mc56",-0.02,70
"mc57",-0.02,71
"mc14",-0.03,72
"mc74",-0.07,73
"mc23",-0.1,74
"mc72",-0.13,75
"mc73",-0.13,76
"mc12",-0.15,77
"mc16",-0.19,78
"mc20",-0.22,79
"mc19",-0.23,80
"mc15",-0.24,81
"mc18",-0.29,82
"mc75",-0.29,83
"mc8",-0.46,84
"mc5",-0.47,85
"mc80",-0.47,86
"mc76",-0.48,87
"mc78",-0.48,88
"mc79",-0.52,89
"mc82",-0.52,90
"mc77",-0.53,91
"mc81",-0.53,92
"mc85",-0.66,93
"mc88",-0.66,94
"mc86",-0.7,95
"mc84",-0.72,96
"mc87",-0.72,97
"mc9",-0.74,98
"mc94",-0.75,99
"mc96",-0.75,100
